field_name,level,level_support,raw_mean_loss,raw_median_loss,raw_loss_iqr,rare_level_flag,log1p_mean_loss,log1p_median_loss
cat1,A,141550,3408.0915145178383,2458.6899999999996,3028.7350000000006,False,8.134201116752015,7.80779060472553
cat1,B,46768,1915.19852056962,1444.8600000000001,1414.1675,False,7.558098565151774,7.276459579220955
cat10,A,160213,2694.1355275789106,1902.69,2231.84,False,7.899203770605169,7.551549386969438
cat10,B,28105,4993.767052481764,4089.17,4058.0,False,8.516146053855369,8.31634181296523
cat100,F,42970,3200.0989397253898,2325.085,2568.4049999999997,False,8.07124944849731,7.751941875833099
cat100,I,39933,1970.402508702076,1470.68,1423.88,False,7.58650050177901,7.294159884351559
cat100,L,19961,4005.5817143429686,3315.15,3424.3300000000004,False,8.295693716453288,8.106559750455265
cat100,K,13817,2772.5496974741263,1852.56,2596.8599999999997,False,7.927883258020213,7.524863393256492
cat100,G,12935,4678.556561267877,3636.05,4093.5599999999995,False,8.450958632556613,8.198928192486663
cat100,J,12027,2063.532037914692,1416.12,1545.6649999999997,False,7.632658863691901,7.256381922061273
cat100,H,10776,3906.7548997772824,2932.415,3204.9799999999996,False,8.270718293636296,7.983922552319728
cat100,A,9402,1746.2421697511168,1281.935,1292.5900000000001,False,7.465793920876953,7.156905700822505
cat100,N,7592,3055.7959641728135,2318.205,2322.465,False,8.025122575853361,7.7489797335209545
cat100,B,6608,3090.5893341404358,2310.51,2406.0824999999995,False,8.036440585278658,7.745656269614034
cat100,O,5697,3496.4890345796034,2388.8,3125.0599999999995,False,8.159800571318025,7.778964959415654
cat100,M,5185,4767.290925747348,3822.92,4520.8,False,8.469743223189838,8.249031353450363
cat100,C,836,4835.537141148325,3665.085,4107.057499999999,False,8.483954276937336,8.206879614164682
cat100,D,553,2253.6821338155514,1743.03,1642.08,False,7.720764281386952,7.463953806155837
cat100,E,26,4914.809615384615,3538.62,3485.3375000000005,True,8.500211742390148,8.171774655733204
cat101,A,106721,2454.1398437983153,1739.25,1957.5500000000002,False,7.805939001456937,7.4617840600487755
