field_name,level,level_support,denominator,support_share,rare_level_threshold
cat101,H,1,188318,5.310166845442284e-06,100
cat101,N,1,188318,5.310166845442284e-06,100
cat101,U,1,188318,5.310166845442284e-06,100
cat102,H,1,188318,5.310166845442284e-06,100
cat102,J,1,188318,5.310166845442284e-06,100
cat105,S,1,188318,5.310166845442284e-06,100
cat105,T,1,188318,5.310166845442284e-06,100
cat109,AG,1,188318,5.310166845442284e-06,100
cat109,AK,1,188318,5.310166845442284e-06,100
cat109,B,1,188318,5.310166845442284e-06,100
cat109,BF,1,188318,5.310166845442284e-06,100
cat109,BP,1,188318,5.310166845442284e-06,100
cat109,CB,1,188318,5.310166845442284e-06,100
cat109,J,1,188318,5.310166845442284e-06,100
cat109,ZZ,1,188318,5.310166845442284e-06,100
cat110,AS,1,188318,5.310166845442284e-06,100
cat110,BD,1,188318,5.310166845442284e-06,100
cat110,BI,1,188318,5.310166845442284e-06,100
cat110,BK,1,188318,5.310166845442284e-06,100
cat110,BM,1,188318,5.310166845442284e-06,100
cat110,CB,1,188318,5.310166845442284e-06,100
cat110,DV,1,188318,5.310166845442284e-06,100
cat110,EH,1,188318,5.310166845442284e-06,100
cat110,S,1,188318,5.310166845442284e-06,100
cat113,AC,1,188318,5.310166845442284e-06,100
cat113,AR,1,188318,5.310166845442284e-06,100
cat113,B,1,188318,5.310166845442284e-06,100
cat113,P,1,188318,5.310166845442284e-06,100
cat114,G,1,188318,5.310166845442284e-06,100
cat114,W,1,188318,5.310166845442284e-06,100
cat114,X,1,188318,5.310166845442284e-06,100
cat115,C,1,188318,5.310166845442284e-06,100
cat116,AD,1,188318,5.310166845442284e-06,100
cat116,AE,1,188318,5.310166845442284e-06,100
cat116,AH,1,188318,5.310166845442284e-06,100
cat116,AM,1,188318,5.310166845442284e-06,100
cat116,AN,1,188318,5.310166845442284e-06,100
cat116,AP,1,188318,5.310166845442284e-06,100
cat116,AR,1,188318,5.310166845442284e-06,100
cat116,AS,1,188318,5.310166845442284e-06,100
cat116,AT,1,188318,5.310166845442284e-06,100
cat116,BB,1,188318,5.310166845442284e-06,100
cat116,BC,1,188318,5.310166845442284e-06,100
cat116,BF,1,188318,5.310166845442284e-06,100
cat116,BG,1,188318,5.310166845442284e-06,100
cat116,BI,1,188318,5.310166845442284e-06,100
cat116,BL,1,188318,5.310166845442284e-06,100
cat116,C,1,188318,5.310166845442284e-06,100
cat116,DQ,1,188318,5.310166845442284e-06,100
cat116,DY,1,188318,5.310166845442284e-06,100
cat116,EQ,1,188318,5.310166845442284e-06,100
cat116,EV,1,188318,5.310166845442284e-06,100
cat116,FI,1,188318,5.310166845442284e-06,100
cat116,FM,1,188318,5.310166845442284e-06,100
cat116,FN,1,188318,5.310166845442284e-06,100
cat116,FO,1,188318,5.310166845442284e-06,100
cat116,FP,1,188318,5.310166845442284e-06,100
cat116,FQ,1,188318,5.310166845442284e-06,100
cat116,FS,1,188318,5.310166845442284e-06,100
cat116,G,1,188318,5.310166845442284e-06,100
cat116,HO,1,188318,5.310166845442284e-06,100
cat116,HU,1,188318,5.310166845442284e-06,100
cat116,IB,1,188318,5.310166845442284e-06,100
cat116,IK,1,188318,5.310166845442284e-06,100
cat116,IO,1,188318,5.310166845442284e-06,100
cat116,IR,1,188318,5.310166845442284e-06,100
cat116,IV,1,188318,5.310166845442284e-06,100
